medcode,readcode,readterm
36949,B49y.00,Malignant neoplasm of other site of urinary bladder
37016,B33..14,Malignant neoplasm of sebaceous gland
37096,B015.00,"Malignant neoplasm of tongue, junctional zone"
37112,B6...11,Malignant neoplasm of histiocytic tissue
37125,B803100,Carcinoma in situ of transverse colon
37137,BB51100,[M]Adenocarcinoma in situ in tubulovillous adenoma
37182,B63..00,Multiple myeloma and immunoproliferative neoplasms
37187,B800z00,"Carcinoma in situ of lip, oral cavity and pharynx NOS"
37272,B67..00,Other specified leukaemia
37328,B450.00,Malignant neoplasm of vagina
37354,BB5X100,[M]Clear cell adenocarcinoma NOS
37461,B64y200,Adult T-cell leukaemia
37468,B671.00,Chronic erythraemia
37477,BBe7.11,"[M]Schwannoma, malignant"
37501,B808200,Carcinoma in situ of hepatic duct
37505,B800.11,Carcinoma in situ of oral cavity
37510,BBLG.00,[M]Carcinoma in pleomorphic adenoma
37516,B054.00,Malignant neoplasm of uvula
37540,B563000,Secondary and unspec malig neop axillary lymph nodes
37542,BBQ7300,[M]Teratocarcinoma
37549,B05z000,Kaposi's sarcoma of palate
37579,B812200,Carcinoma in situ of upper lobe bronchus and lung
37590,B052.00,Malignant neoplasm of hard palate
37618,B551000,Malignant neoplasm of axilla NOS
37680,BBGF.00,"[M]Fibrous histiocytoma, malignant"
37688,BBA2.00,[M]Acinar cell carcinoma
37724,B056.00,Malignant neoplasm of retromolar area
37774,B802z00,Carcinoma in situ of stomach NOS
37805,B213100,Malignant neoplasm of cricoid cartilage
37810,B220z00,Malignant neoplasm of trachea NOS
37842,B303000,Malignant neoplasm of rib
37859,B110z00,Malignant neoplasm of cardia of stomach NOS
37872,B327400,Malignant melanoma of lower leg
37916,B05y.00,Malignant neoplasm of other specified mouth parts
37919,B561000,Secondary and unspec malig neop internal mammary lymph nodes
37940,B072000,Malignant neoplasm of pharyngeal recess
38005,B621z00,Mycosis fungoides NOS
38331,B64yz00,Other lymphoid leukaemia NOS
38343,B560700,Secondary and unspec malig neop submental lymph nodes
38442,BB81200,"[M]Serous cystadenocarcinoma, NOS"
38475,B34yz00,Malignant neoplasm of other site of female breast NOS
38481,BBTK.00,"[M]Epithelioid haemangioendothelioma, malignant"
38488,B013z00,Malignant neoplasm of ventral tongue surface NOS
38510,B47z.00,Malignant neoplasm of testis NOS
38575,BB62100,[M]Apocrine adenocarcinoma
38611,B8y..00,Carcinoma in situ of other and unspecified sites
38651,BB21.00,[M]Papillary carcinoma in situ
38689,B325.00,Malignant melanoma of trunk (excluding scrotum)
38736,B5y..00,Malignant neoplasm of other and unspecified site OS
38770,BBB7.00,[M]Epithelial-myoepithelial carcinoma
38862,B490.00,Malignant neoplasm of trigone of urinary bladder
38883,B804z00,Carcinoma in situ of rectum or rectosigmoid junction NOS
38914,B64z.00,Lymphoid leukaemia NOS
38918,B583100,Secondary malignant neoplasm of spinal cord
38931,B4y..00,Malignant neoplasm of genitourinary organ OS
38938,B306z00,"Malignant neoplasm of pelvis, sacrum or coccyx NOS"
38939,B613.00,"Hodgkin's disease, lymphocytic-histiocytic predominance"
38961,B22y.00,Malignant neoplasm of other sites of bronchus or lung
38978,B15z.00,Malignant neoplasm of liver and intrahepatic bile ducts NOS
39027,ByuC000,[X]Malignant neoplasm of other specified sites
39038,BB85.00,[M]Signet ring carcinoma
39064,B81y900,Carcinoma in situ of sphenoidal sinus
39080,B803000,Carcinoma in situ of hepatic flexure of colon
39084,B0z2.00,Malignant neoplasm of laryngopharynx
39088,B514.00,Malignant neoplasm of occipital lobe
39187,B631.00,Plasma cell leukaemia
39336,B6y1.00,Myelosclerosis with myeloid metaplasia
39413,B18y500,Malignant neoplasm of pelvic peritoneum
39430,B0zz.00,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
39433,B560500,Secondary and unspec malig neop submandibular lymph nodes
39531,B25..00,"Malig neo, overlapping lesion of heart, mediastinum & pleura"
39554,B063.00,Malignant neoplasm of vallecula
39590,B206.00,"Malignant neoplasm, overlapping lesion of accessory sinuses"
39629,B653100,Granulocytic sarcoma
39717,B81y100,Carcinoma in situ of nasal cavity
39760,BB91100,[M]Infiltrating duct and lobular carcinoma
39798,B627X00,"Diffuse non-Hodgkin's lymphoma, unspecified"
39870,B172.00,Malignant neoplasm of tail of pancreas
39878,B327300,Malignant melanoma of popliteal fossa area
39897,B081.00,Malignant neoplasm of pyriform sinus
39899,B542100,Malignant neoplasm of craniopharyngeal duct
39906,BBgE.00,"[M]Malignant lymphoma, centrocytic"
39923,B223100,Malignant neoplasm of middle lobe of lung
40014,B310100,Malignant neoplasm of soft tissue of face
40240,BB5D500,[M]Hepatocellular carcinoma NOS
40292,B053.00,Malignant neoplasm of soft palate
40359,BB94.00,[M]Juvenile breast carcinoma
40437,B50y.00,Malignant neoplasm of other specified site of eye
40438,BB5D111,[M]Bile duct carcinoma
40443,B33..15,Malignant neoplasm of sweat gland
40492,BBe9.00,"[M]Triton tumour, malignant"
40557,B01z.00,Malignant neoplasm of tongue NOS
40592,Byu5.00,[X]Malignant neoplasm of mesothelial and soft tissue
40595,Byu2000,"[X]Malignant neoplasm of bronchus or lung, unspecified"
40598,Byu7.00,[X]Malignant neoplasm of female genital organs
40608,ByuB.00,[X]Malignant neoplasm of thyroid and other endocrine glands
40622,BB5V711,[M]Mucoid cell carcinoma
40632,BB82.00,[M]Mucinous adenoma and adenocarcinoma
40671,Byu8.00,[X]Malignant neoplasm of male genital organs
40740,ByuD.00,"[X]Malignant neoplasms of lymphoid, haematopoietic and rela"
40749,Byu3.00,[X]Malignant neoplasm of bone and articular cartilage
40810,B171.00,Malignant neoplasm of body of pancreas
40814,B307200,Malignant neoplasm of tibia
40966,B306300,Malignant neoplasm of sacral vertebra
41011,B3z..00,"Malig neop of bone, connective tissue, skin and breast NOS"
41215,B111100,Malignant neoplasm of pyloric canal of stomach
41278,B323000,Malignant melanoma of external surface of cheek
41313,BB5D300,[M]Bile duct cystadenocarcinoma
41362,B101.00,Malignant neoplasm of thoracic oesophagus
41369,B60..00,Lymphosarcoma and reticulosarcoma
41490,B327700,Malignant melanoma of foot
41515,ByuA100,"[X]Malignant neoplasm/central nervous system, unspecified"
41520,B51z.00,Malignant neoplasm of brain NOS
41523,B223000,Malignant neoplasm of middle lobe bronchus
41530,B01y.00,Malignant neoplasm of other sites of tongue
41571,B495.00,Malignant neoplasm of bladder neck
41691,B562000,Secondary and unspec malig neop coeliac lymph nodes
41702,BB5N.00,[M]Adenomatous and adenocarcinomatous polyps of colon
41754,BBg7.00,"[M]Malignant lymphoma, lymphoplasmacytoid type"
41816,BB2E.00,"[M]Squamous cell carcinoma, small cell, non-keratinising"
41841,BBgB.00,"[M]Malignant lymphoma, follicular centre cell NOS"
41931,B550100,Malignant neoplasm of cheek NOS
42012,B494.00,Malignant neoplasm of posterior wall of urinary bladder
42023,B497.00,Malignant neoplasm of urachus
42070,B345.00,Malignant neoplasm of lower-outer quadrant of female breast
42129,B800.12,Carcinoma in situ of pharynx
42153,B32y.00,Malignant melanoma of other specified skin site
42193,B115.00,Malignant neoplasm of lesser curve of stomach unspecified
42218,B55y.00,Malignant neoplasm of other specified sites
42273,BB5T.00,[M]Papillary adenomas and adenocarcinomas
42416,B105.00,Malignant neoplasm of lower third of oesophagus
42426,B511.00,Malignant neoplasm of frontal lobe
42460,B543.00,Malignant neoplasm of pineal gland
42461,B61zz00,Hodgkin's disease NOS
42539,B670.00,Acute erythraemia and erythroleukaemia
42542,BB9K.00,[M]Paget's disease and infiltrating breast duct carcinoma
42553,BBB3.00,[M]Adenocarcinoma with cartilaginous and osseous metaplasia
42566,B224z00,"Malignant neoplasm of lower lobe, bronchus or lung NOS"
42569,B2zz.00,Malignant neoplasm of respiratory tract NOS
42579,B62y300,Malignant lymphoma NOS of intra-abdominal lymph nodes
42714,B327500,Malignant melanoma of ankle
42856,B200z00,Malignant neoplasm of nasal cavities NOS
43111,B213.00,Malignant neoplasm of laryngeal cartilage
43151,Byu3300,"[X]Malignant neoplasm/bone+articular cartilage, unspecified"
43200,B06z.00,Malignant neoplasm of oropharynx NOS
43380,B81y600,Carcinoma in situ of maxillary sinus
43390,B12z.00,Malignant neoplasm of small intestine NOS
43392,B483.00,"Malignant neoplasm of penis, part unspecified"
43400,B03..00,Malignant neoplasm of gum
43415,ByuD000,[X]Other Hodgkin's disease
43431,B010.00,Malignant neoplasm of base of tongue
43435,B41yz00,Malignant neoplasm of other site of cervix NOS
43450,B63z.00,Immunoproliferative neoplasm or myeloma NOS
43463,B325700,Malignant melanoma of back
43475,B310.00,"Malig neop of connective and soft tissue head, face and neck"
43479,B121.00,Malignant neoplasm of jejunum
43490,Byu1100,[X]Other specified carcinomas of liver
43548,B080.00,Malignant neoplasm of postcricoid region
43552,B630.11,Kahler's disease
43572,B114.00,Malignant neoplasm of body of stomach
43594,BB5Cz00,[M]Gastrinoma or carcinoma NOS
43614,B30X.00,"Malignant neoplasm/bones+articular cartilage/limb,unspfd"
43642,B011.00,Malignant neoplasm of dorsal surface of tongue
43715,B325600,Malignant melanoma of umbilicus
43761,B451.00,Malignant neoplasm of labia majora
43781,B011z00,Malignant neoplasm of dorsum of tongue NOS
43940,B431.00,Malignant neoplasm of isthmus of uterine body
44074,BB84.00,[M]Mucin-producing adenocarcinoma
44089,B517.00,Malignant neoplasm of brain stem
44108,B18..00,Malignant neoplasm of retroperitoneum and peritoneum
44139,B073.00,Malignant neoplasm of anterior wall of nasopharynx
44166,B80z.00,Carcinoma in situ of other and unspecified digestive organs
44169,B222z00,"Malignant neoplasm of upper lobe, bronchus or lung NOS"
44196,B611.00,Hodgkin's granuloma
44228,B801z00,Carcinoma in situ of oesophagus NOS
44267,B623.00,Malignant histiocytosis
44318,B62xX00,Oth and unspecif peripheral & cutaneous T-cell lymphomas
44356,B2z..00,Malig neop other/ill-defined sites resp/intrathoracic organs
44399,B150z00,Primary malignant neoplasm of liver NOS
44452,B300C00,Malignant neoplasm of vomer
44529,B575.00,Secondary malignant neoplasm of large intestine and rectum
44609,B306000,Malignant neoplasm of ilium
44615,B586.00,Secondary malignant neoplasm of ovary
44627,B560800,Secondary and unspec malig neop anterior cervical LN
44663,B800900,Carcinoma in situ of hypopharynx
44778,BB52000,[M]Adenocarcinoma in tubulovillous adenoma
44805,B312100,Malig neop of connective and soft tissue thigh and upper leg
44884,B4Ay.00,Malignant neoplasm of other urinary organs
44915,B833.00,Carcinoma in situ other and unspecified female genital organ
44930,BB81800,[M]Papillary serous cystadenocarcinoma
44931,B562z00,Secondary and unspec malig neop intra-abdominal LN NOS
44996,B491.00,Malignant neoplasm of dome of urinary bladder
45070,B807000,Carcinoma in situ of duodenum
45071,B314.00,Malignant neoplasm of connective and soft tissue of abdomen
45139,B323400,Malignant melanoma of external surface of nose
45154,B516.00,Malignant neoplasm of cerebellum
45217,B807200,Carcinoma in situ of ileum
45222,B343.00,Malignant neoplasm of lower-inner quadrant of female breast
45260,Byu9000,"[X]Malignant neoplasm of urinary organ, unspecified"
45262,Byu8200,"[X]Malignant neoplasm of male genital organ, unspecified"
45264,B620100,"Nodular lymphoma of lymph nodes of head, face and neck"
45267,B55z.00,Malignant neoplasm of other and ill defined site NOS
45306,B324100,Malignant melanoma of neck
45307,B2...11,Carcinoma of respiratory tract and intrathoracic organs
45408,B040.00,Malignant neoplasm of anterior portion of floor of mouth
45458,BB2F.00,"[M]Squamous cell carcinoma, spindle cell type"
45490,B430z00,Malignant neoplasm of corpus uteri NOS
45510,BB2M.00,[M]Lymphoepithelial carcinoma
45667,B501.00,Malignant neoplasm of orbit
45681,B83..00,Carcinoma in situ of breast and genitourinary system
45755,B326200,Malignant melanoma of fore-arm
45760,B325z00,"Malignant melanoma of trunk, excluding scrotum, NOS"
45766,Byu1200,"[X]Malignant neoplasm of intestinal tract, part unspecified"
45793,B430300,Malignant neoplasm of myometrium of corpus uteri
45824,B58y900,Secondary malignant neoplasm of tongue
45909,B8yy300,Carcinoma in situ of pituitary gland
45922,B508.00,"Malignant neoplasm, overlapping lesion of eye and adnexa"
45986,B041.00,Malignant neoplasm of lateral portion of floor of mouth
46042,B630300,Lambda light chain myeloma
46114,B0z..00,"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
46153,B443.00,Malignant neoplasm of parametrium
46159,B142000,Malignant neoplasm of cloacogenic zone
46255,B327.00,Malignant melanoma of lower limb and hip
46409,B563300,Secondary and unspec malig neop pectoral lymph nodes
46478,B8yy100,Carcinoma in situ of adrenal gland
46497,B81y000,Carcinoma in situ of pleura
46548,B071100,Malignant neoplasm of pharyngeal tonsil
46594,B808300,Carcinoma in situ of gall bladder
46613,B18y.00,Malignant neoplasm of specified parts of peritoneum
46728,B064.00,Malignant neoplasm of anterior epiglottis
46761,BB5f600,[M]Papillary and follicular adenocarcinoma
46771,BB5D800,"[M]Hepatocellular carcinoma, fibrolamellar"
46789,B515000,Malignant neoplasm of choroid plexus
46792,B512.00,Malignant neoplasm of temporal lobe
46877,BBgL.00,"[M]Malignant lymphoma, small lymphocytic NOS"
46905,B545200,Malignant neoplasm of coccygeal body
46931,BBg4.00,"[M]Malignant lymphoma, stem cell type"
46939,B302000,Malignant neoplasm of cervical vertebra
47094,B323200,Malignant melanoma of eyebrow
47204,B625z00,Letterer-Siwe disease NOS
47205,B017.00,Malignant overlapping lesion of tongue
47252,B323.00,Malignant melanoma of other and unspecified parts of face
47286,B551.00,Malignant neoplasm of thorax
47366,B565300,Secondary and unspec malig neop sacral lymph nodes
47556,B512z00,Malignant neoplasm of temporal lobe NOS
47633,ByuA300,"[X]Malig neopl, overlap lesion brain & other part of CNS"
47656,B803500,Carcinoma in situ of appendix
47667,B803200,Carcinoma in situ of descending colon
47668,B48y100,Malignant neoplasm of tunica vaginalis
47734,BBP5.00,"[M]Epithelioid mesothelioma, malignant"
47767,B486.00,Malignant neoplasm of scrotum
47801,B49y000,"Malignant neoplasm, overlapping lesion of bladder"
47810,B59..00,Malignant neoplasm of unspecified site
47840,B545100,Malignant neoplasm of aortic body
47862,B213300,Malignant neoplasm of thyroid cartilage
47897,B812300,Carcinoma in situ of middle lobe bronchus and lung
47899,B451000,Malignant neoplasm of greater vestibular (Bartholin's) gland
47920,BB9B.11,[M]C cell carcinoma
48048,BB1B.00,[M]Giant cell and spindle cell carcinoma
48073,B510000,Malignant neoplasm of basal ganglia
48145,D212000,Anaemia in ovarian carcinoma
48182,BB29.11,[M]Epidermoid carcinoma in situ
48223,BB54.00,[M]Scirrhous adenocarcinoma
48231,B13y.00,Malignant neoplasm of other specified sites of colon
48237,B111000,Malignant neoplasm of prepylorus of stomach
48253,BBg8.00,"[M]Malignant lymphoma, immunoblastic type"
48517,B310200,Malignant neoplasm of soft tissue of neck
48519,B065.00,Malignant neoplasm of junctional region of epiglottis
48537,B17y.00,Malignant neoplasm of other specified sites of pancreas
48743,B482.00,Malignant neoplasm of body of penis
48809,B35zz00,Malignant neoplasm of male breast NOS
48820,B410.00,Malignant neoplasm of endocervix
49054,B304000,Malignant neoplasm of scapula
49132,B517100,Malignant neoplasm of medulla oblongata
49145,B58y700,Secondary malignant neoplasm of penis
49148,B347.00,"Malignant neoplasm, overlapping lesion of breast"
49159,B812000,Carcinoma in situ of carina of bronchus
49214,B560.00,Secondary and unspec malig neop lymph nodes head/face/neck
49262,B627200,Follicular non-Hodgkin's large cell lymphoma
49292,Byu1300,[X]Malignant neoplsm/ill-defin sites within digestive system
49301,B6z..00,Malignant neoplasm lymphatic or haematopoietic tissue NOS
49360,B031.00,Malignant neoplasm of lower gum
49400,B430211,Malignant neoplasm of endometrium
49463,B310400,Malignant neoplasm of tarsus of eyelid
49491,B303100,Malignant neoplasm of sternum
49525,B59zX00,"Kaposi's sarcoma, unspecified"
49605,B615.00,"Hodgkin's disease, mixed cellularity"
49629,BB5C100,"[M]Gastrinoma, malignant"
49701,B302z00,Malignant neoplasm of vertebral column NOS
49714,B523.00,Malignant neoplasm of spinal meninges
49725,B64y.00,Other lymphoid leukaemia
49758,B0zy.00,"Malignant neoplasm of other sites lip, oral cavity, pharynx"
49814,B325000,Malignant melanoma of axilla
49828,B441.00,Malignant neoplasm of fallopian tube
49875,B52X.00,"Malignant neoplasm of meninges, unspecified"
50035,B545.00,Malignant neoplasm of aortic body and other paraganglia
50126,B831100,Carcinoma in situ of exocervix
50140,BB5K.00,[M]Cribriform carcinoma
50152,B306500,Malignant sacral teratoma
50199,B563.00,Secondary and unspec malig neop axilla and upper limb LN
50222,B311000,Malignant neoplasm of connective and soft tissue of shoulder
50285,B410z00,Malignant neoplasm of endocervix NOS
50288,B800200,Carcinoma in situ of salivary glands
50289,B241z00,Malignant neoplasm of heart NOS
50290,B6z0.00,Kaposi's sarcoma of lymph nodes
50292,Byu2500,"[X]Malignant neoplasm of mediastinum, part unspecified"
50297,B411.00,Malignant neoplasm of exocervix
50298,B300500,Malignant neoplasm of orbital bone
50299,B300900,Malignant neoplasm of zygomatic bone
50402,B307100,Malignant neoplasm of fibula
50419,B800800,Carcinoma in situ of oropharynx
50475,B02z.00,Malignant neoplasm of major salivary gland NOS
50505,B326000,Malignant melanoma of shoulder
50579,B214.00,"Malignant neoplasm, overlapping lesion of larynx"
50668,B627300,Diffuse non-Hodgkin's small cell (diffuse) lymphoma
50695,B627500,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
50696,B62y100,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
50777,B524600,"Malignant neoplasm,overlap lesion periph nerve & auton ns"
50789,B103.00,Malignant neoplasm of upper third of oesophagus
50858,B674.00,Acute panmyelosis
50898,B18y300,Malignant neoplasm of omentum
50904,B563200,Secondary and unspec malig neop infraclavicular lymph nodes
50946,BB9C.00,[M]Medullary carcinoma with amyloid stroma
50974,B14z.00,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"
51054,B805.00,Carcinoma in situ of anal canal
51115,B522.00,Malignant neoplasm of spinal cord
51209,B325800,Malignant melanoma of chest wall
51237,B303z00,"Malignant neoplasm of rib, sternum and clavicle NOS"
51255,B1zz.00,Malignant neoplasm of digestive tract and peritoneum NOS
51352,B592.00,Malignant neoplasms of independent (primary) multiple sites
51353,BBE1000,"[M]Malignant melanoma, regressing"
51551,B571.00,Secondary malignant neoplasm of mediastinum
51656,BB81E00,[M]Mucinous cystadenocarcinoma NOS
51680,BBgV.00,"[M]Malignant lymphoma, small cell, noncleaved, diffuse"
51690,B117.00,"Malignant neoplasm, overlapping lesion of stomach"
51714,B811.00,Carcinoma in situ of trachea
51748,B802300,Carcinoma in situ of pyloric antrum
51786,B021.00,Malignant neoplasm of submandibular gland
51795,B545000,Malignant neoplasm of glomus jugulare
51818,B550300,Malignant neoplasm of jaw NOS
51873,B327100,Malignant melanoma of thigh
51921,B306200,Malignant neoplasm of pubis
51926,B062000,Malignant neoplasm of faucial pillar
51934,B808.11,Carcinoma in situ of biliary system
51965,B315.00,Malignant neoplasm of connective and soft tissue of pelvis
52029,ByuC800,[X]Malignant neoplasm without specification of site
52190,B561900,Secondary and unspec malig neop pulmonary lymph nodes
52316,B553.00,Malignant neoplasm of pelvis
52326,BB5L100,[M]Adenocarcinoma in adenomatous polyp
52327,B653000,Chloroma
52373,B812400,Carcinoma in situ of lower lobe bronchus and lung
52493,BBQ7213,"[M]Teratoblastoma, malignant"
52496,BB61.00,[M]Sweat gland adenoma and adenocarcinomas
52511,B515.00,Malignant neoplasm of cerebral ventricles
52537,B161100,Malignant neoplasm of hepatic duct
52570,B487.00,"Malignant neoplasm, overlapping lesion of penis"
52594,B4z..00,Malignant neoplasm of genitourinary organ NOS
52736,B562.00,Secondary and unspec malig neop intra-abdominal lymph nodes
53103,B410100,Malignant neoplasm of endocervical gland
53129,BB5W112,[M]Oncytic adenocarcinoma
53349,B8yy.00,Carcinoma in situ of other specified site
53369,B327900,Malignant melanoma of great toe
53397,B61z.00,Hodgkin's disease NOS
53460,B810200,Carcinoma in situ of epiglottis
53504,B52W.00,"Malig neopl, overlap lesion brain & other part of CNS"
53528,B581200,Secondary malignant neoplasm of urethra
53551,B627600,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
53591,B10y.00,Malignant neoplasm of other specified part of oesophagus
53594,B300000,Malignant neoplasm of ethmoid bone
53599,B300100,Malignant neoplasm of frontal bone
53629,B325200,Malignant melanoma of buttock
53803,ByuFG00,[X]Other carcinoma in situ of breast
53882,B810z00,Carcinoma in situ of larynx NOS
53884,B060z00,Malignant neoplasm tonsil NOS
53910,B453.00,Malignant neoplasm of clitoris
53989,B311.00,Malig neop connective and soft tissue upper limb/shoulder
54083,B625800,Letterer-Siwe disease of lymph nodes of multiple sites
54103,B16..00,Malignant neoplasm gallbladder and extrahepatic bile ducts
54120,B584.00,Secondary malignant neoplasm of other part of nervous system
54133,B510z00,Malignant neoplasm of cerebrum NOS
54134,B223z00,"Malignant neoplasm of middle lobe, bronchus or lung NOS"
54171,B104.00,Malignant neoplasm of middle third of oesophagus
54184,B4A1z00,Malignant neoplasm of renal pelvis NOS
54186,B313100,Malignant neoplasm of diaphragm
54202,B35z.00,Malignant neoplasm of other site of male breast
54222,B312400,Malignant neoplasm of connective and soft tissue of foot
54253,ByuC700,[X]Secondary malignant neoplasm of other specified sites
54267,B59z.00,Malignant neoplasm of unspecified site NOS
54276,BB1E.00,[M]Pseudosarcomatous carcinoma
54278,B564000,Secondary and unspec malig neop superficial inguinal LN
54305,B327200,Malignant melanoma of knee
54493,B303500,Malignant neoplasm of xiphoid process
54494,B350.00,Malignant neoplasm of nipple and areola of male breast
54613,B201200,Malignant neoplasm of tympanic antrum
54627,BBR3.00,[M]Choriocarcinoma combined with teratoma
54631,B306.00,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
54632,B321.00,Malignant melanoma of eyelid including canthus
54636,B203.00,Malignant neoplasm of ethmoid sinus
54679,B594.00,Secondary malignant neoplasm of unknown site
54685,B326100,Malignant melanoma of upper arm
54691,B302200,Malignant neoplasm of lumbar vertebra
54747,B300600,Malignant neoplasm of parietal bone
54749,BB81H00,[M]Papillary mucinous cystadenocarcinoma
54793,B682.00,Subacute leukaemia NOS
54874,BB85100,[M]Metastatic signet ring cell carcinoma
54956,B50z.00,Malignant neoplasm of eye NOS
54965,B312200,Malig neop connective and soft tissue of popliteal space
55015,B05z.00,Malignant neoplasm of mouth NOS
55019,B11y.00,Malignant neoplasm of other specified site of stomach
55066,B062.00,Malignant neoplasm of tonsillar pillar
55090,B58y100,Secondary malignant neoplasm of uterus
55098,B550000,Malignant neoplasm of head NOS
55101,B553z00,Malignant neoplasm of pelvis NOS
55246,B20z.00,Malignant neoplasm of accessory sinus NOS
55292,B326z00,Malignant melanoma of upper limb or shoulder NOS
55303,B614100,"Hodgkin's nodular sclerosis of head, face and neck"
55374,B215.00,Malignant neoplasm of epiglottis NOS
55434,B116.00,Malignant neoplasm of greater curve of stomach unspecified
55463,B561400,Secondary and unspec malig neop post mediastinal lymph nodes
55468,BB5R600,"[M]Mucocarcinoid tumour, malignant"
55588,Byu7300,"[X]Malignant neoplasm of female genital organ, unspecified"
55595,B300700,Malignant neoplasm of sphenoid bone
55630,B07y.00,Malignant neoplasm of other specified site of nasopharynx
55659,B14y.00,"Malig neop other site rectum, rectosigmoid junction and anus"
55741,BB5L200,[M]Adenocarcinoma in situ in adenomatous polyp
55881,B324000,Malignant melanoma of scalp
55946,B574000,Secondary malignant neoplasm of duodenum
55953,B300400,Malignant neoplasm of occipital bone
56077,B801200,Carcinoma in situ of lower 1/3 oesophagus
56345,B57y.00,Secondary malignant neoplasm of other digestive organ
56355,B066.00,Malignant neoplasm of lateral wall of oropharynx
56490,B52z.00,Malignant neoplasm of nervous system NOS
56513,B307000,Malignant neoplasm of femur
56600,BB2A.11,[M]Epidermoid carcinoma NOS
56640,B8yyz00,Carcinoma in situ of other specified site NOS
56709,B04y.00,Malignant neoplasm of other sites of floor of mouth
56715,B34y.00,Malignant neoplasm of other site of female breast
56718,B500z00,Malignant neoplasm of eyeball NOS
56918,B1zy.00,Malignant neoplasm other spec digestive tract and peritoneum
56925,Byu4000,[X]Malignant melanoma of other+unspecified parts of face
57047,B544.00,Malignant neoplasm of carotid body
57191,Byu8000,[X]Malignant neoplasm/other specified male genital organs
57225,B614000,"Hodgkin's disease, nodular sclerosis of unspecified site"
57235,B410000,Malignant neoplasm of endocervical canal
57248,B082.00,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"
57260,B322.00,Malignant melanoma of ear and external auricular canal
57336,BB16.00,"[M]Epithelioma, malignant"
57427,B62y000,Malignant lymphoma NOS of unspecified site
57471,B316.00,Malig neop of connective and soft tissue trunk unspecified
57481,ByuC300,[X]Secondary malignant neoplasm/oth+unspc respiratory organs
57482,B311200,Malignant neoplasm of connective and soft tissue of fore-arm
57513,BB2C.11,"[M]Epidermoid carcinoma, keratinising type"
57671,B672.00,Megakaryocytic leukaemia
57680,BB2A.12,[M]Spinous cell carcinoma
57719,B41y100,Malignant neoplasm of squamocolumnar junction of cervix
57737,B62x100,Lymphoepithelioid lymphoma
57756,Byu7100,[X]Malignant neoplasm/other specified female genital organs
57802,BB5S400,[M]Alveolar adenocarcinoma
57854,B553000,Malignant neoplasm of inguinal region NOS
57866,B800300,Carcinoma in situ of gums
57988,B305000,Malignant neoplasm of carpal bone - scaphoid
58015,BBgQ.00,[M]Malignant lymphomatous polyposis
58016,B8yy200,Carcinoma in situ of parathyroid gland
58061,B452.00,Malignant neoplasm of labia minora
58082,B620800,Nodular lymphoma of lymph nodes of multiple sites
58088,B151400,Malignant neoplasm of intrahepatic gall duct
58094,B412.00,"Malignant neoplasm, overlapping lesion of cervix uteri"
58121,B014.00,Malignant neoplasm of anterior 2/3 of tongue unspecified
58124,B8y0.00,Carcinoma in situ of eye
58131,BB93.00,[M]Comedocarcinoma NOS
58684,B615200,Hodgkin's mixed cellularity of intrathoracic lymph nodes
58692,B561500,Secondary and unspec malig neop paratracheal lymph nodes
58798,BB47.00,"[M]Transitional cell carcinoma, spindle cell type"
58835,BBE1100,"[M]Desmoplastic melanoma, malignant"
58836,B315z00,Malig neop of connective and soft tissue of pelvis NOS
58871,B623z00,Malignant histiocytosis NOS
58883,B802400,Carcinoma in situ of pyloric canal
58903,B550z00,"Malignant neoplasm of head, neck and face NOS"
58949,B308D00,Malignant neoplasm of phalanges of foot
58958,B323500,Malignant melanoma of temple
58962,B62x500,Malignant immunoproliferative small intestinal disease
58973,Byu0.00,"[X]Malignant neoplasm of lip, oral cavity and pharynx"
59004,B072.00,Malignant neoplasm of lateral wall of nasopharynx
59036,B300.00,Malignant neoplasm of bones of skull and face
59041,B500000,Malignant neoplasm of ciliary body
59061,B322000,Malignant melanoma of auricle (ear)
59092,B111z00,Malignant neoplasm of pylorus of stomach NOS
59097,B431000,Malignant neoplasm of lower uterine segment
59115,B602100,"Burkitt's lymphoma of lymph nodes of head, face and neck"
59143,BB2D.00,"[M]Squamous cell carcinoma, large cell, non-keratinising"
59152,B315200,Malignant neoplasm of connective and soft tissue of perineum
59170,B51y000,Malignant neoplasm of corpus callosum
59223,B306100,Malignant neoplasm of ischium
59240,BB58.00,"[M]Carcinoma, diffuse type"
59251,BBM9.00,"[M]Cystosarcoma phyllodes, malignant"
59284,BB82114,[M]Mucous adenocarcinoma
59286,B4Ay000,Malignant neoplasm of overlapping lesion of urinary organs
59362,B451z00,Malignant neoplasm of labia majora NOS
59375,B583z00,Secondary malignant neoplasm of brain or spinal cord NOS
59381,B500100,Malignant neoplasm of iris
59382,B310000,Malignant neoplasm of soft tissue of head
59388,B18y100,Malignant neoplasm of mesocaecum
59415,BBB6100,"[M]Thymoma, malignant"
59426,B81y.11,Carcinoma in situ of nasal sinuses
