prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
14339,2494,90469020,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),Insulin soluble bovine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
23231,731,90467020,Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),Insulin soluble bovine,100unit/1ml,Solution for injection,Intravenous/Subcutaneous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
18593,26159,90757020,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
3550,16950,79673020,Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Penfill,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
14505,686,63825020,Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials,Insulin protamine zinc bovine,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
13474,338,55047020,U100 Insulin syringe Sp.36 [2A] 1ml,,1ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
63679,15,57912020,Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd),Insulin Soluble Bovine,100iu/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Jul-15
7266,221919,90339020,Lantus 100units/ml solution for injection 3ml cartridges (Sanofi),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
55907,152,47927020,Insulin degludec 100units/ml solution for injection 3ml cartridges,Insulin degludec,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Aug-13
29567,777,90285020,Insulin aspart 100units/ml solution for injection 10ml vials,Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
38422,31,55761020,Isophane 100iu/ml Injection (Celltech Pharma Europe Ltd),Insulin isophane bovine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
13203,824,83698020,Pen Injector snap on hypodermic needle 6.2mm to 9.9mm,,Length Between 6.2mm And 9.9mm,Injector Snap On Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
29090,9,78492020,Novopen fun inj device Injection device (Novo Nordisk Ltd),,,Injection Device,,6010103,Diabetes Hypodermic Equipment,Feb-09
5726,2930,82858020,Unilet general purpose type A Lancet sterile single use 0.38mm/28gauge (Owen Mumford Ltd),,0.38mm/28gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
26098,4271,90449020,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
15147,296,70986020,Cleanlet 25 type A Lancet sterile single use 0.5mm/25gauge (Zygo Medica),,0.5mm/25gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
44378,9,90253020,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Jan-11
34031,97,50501020,Monotard mc 100unit/ml Injection (Novo Nordisk Ltd),Pork Insulin,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
16152,1421,90203020,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml cartridges,Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
28442,41,89720020,Insulin glulisine 100unit/ml Solution for injection,Insulin Glulisine,100unit/ml,Solution For Injection,,6010101,Short-acting Insulins,Feb-09
62180,26,31250021,Insulin aspart 100units/ml solution for injection 1.6ml cartridges,,,,,6010101,Short-acting Insulins,Jan-15
54462,1,80971020,Insulin biphasic isophane human emp 25:75; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,25:75; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Apr-13
6209,64857,50497020,NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
18590,97,90455020,Insulin isophane bovine 100units/ml suspension for injection 10ml vials,Insulin isophane bovine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
6447,6025,81577020,Insulin aspart human pyr 100 iu/ml Injection,Insulin Aspart,100 Iu/ml,Injection,,6010101,Short-acting Insulins,Feb-09
35701,95,90660020,Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
10001,20780,76875020,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
14930,4592,90451020,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Intramuscular/Intravenous/Subcutaneous,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
35253,2137,90241020,Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi),Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
7350,133,90427020,Insulin isophane porcine 100units/ml suspension for injection 10ml vials,Insulin isophane porcine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
4198,166151,59681020,Humulin m3 100unit/ml M3 injection (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100unit/ml,M3 Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
14925,343,90263020,Insulin isophane human vial 100unit/ml Sterile suspension injection,Insulin Isophane Human,100unit/ml,Sterile Suspension Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
11080,7167,80952020,Insulin isophane human prb 100iu/ml Injection,Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
17405,97,78462020,Novopen classic inj device Injection device (Novo Nordisk Ltd),,,Injection Device,,6010103,Diabetes Hypodermic Equipment,Feb-09
20422,157,79680020,Insuman comb 15 100iu/ml Injection (Aventis Pharma),Insulin isophane human/Insulin soluble human,85unit/1ml + 15unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
26498,25,80928020,Insulin zinc suspension mixed bovine and porcine 100unit/ml Injection,Pork Insulin/Insulin Zinc Suspension Mixed Bovine,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
25479,90,90447020,Insulin soluble porcine 100units/ml solution for injection 3ml cartridges,Insulin soluble porcine,100unit/1ml,Solution for injection,Intramuscular/Intravenous/Subcutaneous,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
59533,1,12563020,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Apr-14
11245,1025,74816020,"B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)",,0.3ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
26621,42,86843020,Insulin soluble human crb 100iu/ml Injection,Insulin Soluble Human,100iu/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
41959,7,63837020,Penject 100unit/ml Injection device (Hypoguard Ltd),Insulin Soluble Human,100unit/ml,Injection Device,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Apr-10
15710,358,80946020,Insulin soluble human emp 100unit/ml Injection,Insulin Soluble Human,100unit/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
10259,15548,90329020,Insulin glargine 100units/ml solution for injection 10ml vials,Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
14644,745,80931020,Insulin biphasic isophane human prb 20:80; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,20:80; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
21110,80,80966020,Insulin biphasic isophane human prb 50:50; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,50:50; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
60951,1,35202020,Insulin human 100units/ml solution for injection 10ml vials,,,,,6010100,Insulins,Aug-14
23992,359,90283020,Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
17712,5544,57903020,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),Insulin zinc suspension mixed bovine,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
39086,31758,95962020,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Apr-09
21583,1579,90385020,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
12686,73,55082020,Unilet type B Lancet sterile single use (Owen Mumford Ltd),,,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
62899,89,44181021,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),,,,,06010102/06010203,Intermediate- And Long-acting Insulins/Other Antidiabetic Drugs,Apr-15
59005,4568,20300021,Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Ypsomed Ltd),,,,,06010103/71190600,Diabetes Hypodermic Equipment/Needle For Pre-filled And Reusable Pen Injector,Mar-14
58961,8872,20586021,Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Ypsomed Ltd),,,,,06010103/71190600,Diabetes Hypodermic Equipment/Needle For Pre-filled And Reusable Pen Injector,Mar-14
7267,208225,90295020,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),Insulin aspart/Insulin aspart protamine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
59004,2955,20589021,Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge (Ypsomed Ltd),,,,,06010103/71190600,Diabetes Hypodermic Equipment/Needle For Pre-filled And Reusable Pen Injector,Mar-14
36430,22,90179020,Insulin soluble human 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
44405,2,94097020,Unistik 2 extra Lancets (Owen Mumford Ltd),,,Lancets,,06010103/59010400,Diabetes Hypodermic Equipment/-,Jan-11
8118,3569,79702020,Humaject i 100iu/ml Pen (Eli Lilly and Company Ltd),Insulin Isophane Human,100iu/ml,Pen,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
36194,3,90251020,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml cartridges,Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
21232,504,90205020,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 10ml vials,Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
24846,120,70202020,Pur-in neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),Insulin Soluble Human,100unit/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
4774,21691,70430020,Unilet universal comfortouch type A and B Lancet sterile single use 0.45mm/26gauge (Owen Mumford Ltd),,0.45mm/26gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
2024,16326,55085020,"Micro-Fine Lancet sterile single use (Becton, Dickinson UK Ltd)",,,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
22957,56,83702020,Pen Injector snap on hypodermic needle = or > 10mm,,Length Equal Or Greater Than 10mm,Injector Snap On Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
43953,20,97820020,Insulin lispro biphasic 25/75 100units/ml suspension for injection 10ml vials,Insulin lispro protamine/Insulin lispro,75unit/1ml + 25unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Nov-10
14362,1862,90307020,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
1842,16809,52197020,Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
7393,75659,90333020,Insulin glargine 100units/ml solution for injection 3ml cartridges,Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
21223,179,81469020,U100 Insulin syringe 0.3ml,,0.3ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
17809,1540,79710020,Humaject m4 100iu/ml M4 pen (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,M4 Pen,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
23099,1988,90293020,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin aspart/Insulin aspart protamine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
49108,2,12559020,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Jan-13
6724,6762,50552020,U100 Insulin syringe 0.3ml,,0.3ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
11877,827,83696020,Pen Injector snap on hypodermic needle < or = 6.1mm,,Length Less Or Equal To 6.1mm,Injector Snap On Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
28183,4548,90433020,Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),Insulin isophane porcine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
34097,234,55090020,Human initard 50/50 100unit/ml Injection (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
16155,32,96875020,Vitalcare auto safety soft (blue) 1.8mm/21gauge Lancets (VitalCare (UK)),,1.8mm/21gauge,Lancets,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
14345,6418,89726020,Apidra 100units/ml solution for injection 3ml cartridges (Sanofi),Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
12654,1409,80948020,Insulin soluble human prb 100unit/ml Injection,Insulin Soluble Human,100unit/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
47856,4,50689020,Neuphane 100unit/ml Injection (Wellcome Medical Division),Insulin isophane bovine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Oct-12
14330,15314,90325020,Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin detemir,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
17336,56,63834020,Novopen 100unit/ml Injection device (Novo Nordisk Ltd),Insulin Soluble Human,100unit/ml,Injection Device,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
7113,21,94095020,Unistik 2 Lancet sterile single use (Owen Mumford Ltd),,,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
9503,1124,57900020,Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),Insulin protamine zinc bovine,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
11086,8097,74819020,"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)",,0.5ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
30686,71,90429020,Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges,Insulin isophane porcine,100unit/1ml,Suspension for injection,Subcutaneous/Intramuscular,6010102,Intermediate- And Long-acting Insulins,Feb-09
25422,112,55052020,Hypoguard u100 click/count 1ml Insulin syringe (Hypoguard Ltd),,1ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
9341,5384,80932020,Insulin biphasic isophane human prb 30:70; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,30:70; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
21590,637,90387020,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
24993,4038,90257020,Insuman Comb 25 100units/ml suspension for injection 3ml cartridges (Sanofi),Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
31258,560,90317020,Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin lispro/Insulin lispro protamine,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
10243,108218,90319020,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
28096,43,90233020,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml cartridges,Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
61845,1845,31251021,NovoRapid PumpCart 100units/ml solution for injection 1.6ml cartridges (Novo Nordisk Ltd),,,,,6010101,Short-acting Insulins,Dec-14
36513,249,63831020,Velosulin cartridge 100unit/ml Injection (Novo Nordisk Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
16129,278,90181020,Insulin soluble human 100units/ml solution for injection 3ml cartridges,Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
11345,815,80670020,"Bd Ultra Pen 3ml Insulin pen (Becton, Dickinson UK Ltd)",,3ml,Insulin Pen,,6010103,Diabetes Hypodermic Equipment,Feb-09
5620,1560,82952020,U100 Insulin syringe 0.3ml,,0.3ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
3770,754,75888020,Novofine Hypodermic needle 12mm/28gauge (Novo Nordisk Ltd),,12mm/28gauge,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
44480,8134,99132020,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled SoloStar pen (Sanofi),Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-11
55517,47,12614020,Insulin isophane human 100units/ml suspension for injection 10ml vials,Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jun-13
50633,4,10331020,Lantus 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jan-13
7771,19827,54128020,Human protaphane penfill 100 100unit/ml Penfill (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
64723,11,53717021,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Nov-15
33167,10,76722020,Insulin biphasic isophane human crb 25:75; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,25:75; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
52748,27,6430020,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jan-13
46666,4092,353021,NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Jan-12
7231,136460,90209020,Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
64987,4,53716021,Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Dec-15
4163,2205,51331020,Rapitard MC 100unit/ml Injection (Novo Nordisk Ltd),Insulin/Insulin Soluble Porcine,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
42395,1181,97822020,Humalog Mix25 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),Insulin lispro protamine/Insulin lispro,75unit/1ml + 25unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,May-10
3439,318,74957020,Penmix 10/90 Pen (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,,Pen,,6010102,Intermediate- And Long-acting Insulins,Feb-09
4686,2062,70549020,Unilet superlite type B Lancet sterile single use 0.66mm/23gauge (Owen Mumford Ltd),,0.66mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
22328,119,85787020,Unifine single use Insulin syringe with 30gauge needle 8mm 0.5ml (Owen Mumford Ltd),,0.5ml,Insulin Syringe With 30gauge Needle 8mm,,6010103,Diabetes Hypodermic Equipment,Feb-09
25133,2086,90259020,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
4784,3341,50163020,Lentard mc 100unit/ml Injection (Novo Nordisk Ltd),Pork Insulin/Insulin Zinc Suspension Mixed Bovine,100unit/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
10915,863,79704020,Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,M1 Pen,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
41834,17,53971020,Insulin zinc suspension lente 100iu/ml Injection (Celltech Pharma Europe Ltd),Insulin zinc suspension mixed bovine,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Apr-10
6057,171477,76207020,Lantus 100iu/ml Injection (Aventis Pharma),Insulin Glargine,100iu/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
31567,7,90663020,Neoject Hypodermic needle 0.5mm/25gauge (Neomedic Ltd),,0.5mm/25gauge,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
56857,35,99328020,Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges,Insulin soluble human/Insulin isophane human,15unit/1ml + 85unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Aug-13
8895,12135,49940020,Initard 50/50 100unit/ml Injection (Novo Nordisk Ltd),Insulin Isophane Porcine/Insulin Soluble Porcine,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
22983,1070,90187020,Insuman Rapid 100units/ml solution for injection 3ml cartridges (Sanofi),Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
13969,267,81449020,U100 Insulin syringe 0.3ml,,0.3ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
21347,813,74963020,Penmix 40/60 100iu/ml Injection (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
13837,377,80930020,Insulin biphasic isophane human prb 10:90; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,10:90; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
5255,15244,79663020,Mixtard 10 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Penfill,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
63464,10,48608021,Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro,200unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Jun-15
30819,813,90247020,Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin soluble human/Insulin isophane human,15unit/1ml + 85unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
28185,791,90315020,Insulin lispro biphasic 25/75 100units/ml suspension for injection 3ml cartridges,Insulin lispro/Insulin lispro protamine,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
