medcode,readcode,readterm,
58142,L16A000,Glycosuria during pregnancy unspecified,
70149,L16A100,Glycosuria during pregnancy - delivered,
99889,L16A200,Glycosuria during pregnancy - delivered with p/n comp,
63751,L16A300,Glycosuria during pregnancy - not delivered,
70993,L16Az00,Glycosuria during pregnancy NOS,
36394,L16C.00,Pregnancy induced oedema+proteinuria without hypertension,
34265,L16C000,Gestational proteinuria,
37201,L16C100,Gestational oedema with proteinuria,
43000,L16D.00,Excessive weight gain in pregnancy,
16775,L16E.00,Pregnancy pruritus,
42015,L16y.00,Other pregnancy complications,
53849,L16y000,Other pregnancy complication unspecified,
71162,L16y100,Other pregnancy complication - delivered,
55757,L16y200,Other pregnancy complication - delivered with postnatal comp,
64292,L16y300,Other pregnancy complication - not delivered,
94527,L16y400,Other pregnancy complication with postnatal complication,
3191,L16y500,Abdominal pain in pregnancy,
25872,L16yz00,Other pregnancy complication NOS,
36006,L16z.00,Pregnancy complication NOS,
23485,L17..00,Infective/parasitic disease in preg/childbirth/puerperium,
54761,L170.00,Maternal syphilis in pregnancy/childbirth/puerperium,
96437,L170000,"Maternal syphilis, unspec whether in pregnancy or puerperium",
66537,L170100,Maternal syphilis during pregnancy - baby delivered,
107197,L170z00,Maternal syphilis in pregnancy/childbirth/puerperium NOS,
41961,L171.00,Maternal gonorrhoea during pregnancy/childbirth/puerperium,
41959,L171300,Maternal gonorrhoea in pregnancy - baby not yet delivered,
23691,L172.00,Other venereal diseases in pregnancy/childbirth/puerperium,
86991,L172000,"Other maternal venereal disease, unspec pregnancy/puerperium",
99188,L173.00,Maternal tuberculosis in pregnancy/childbirth/puerperium,
58140,L173000,"Maternal tuberculosis,unspec whether in pregnancy/puerperium",
49390,L174.00,"Maternal malaria in pregnancy, childbirth and the puerperium",
42598,L175.00,"Maternal rubella in pregnancy, childbirth and the puerperium",
2937,L175.11,Rubella contact in pregnancy,
94353,L175000,"Maternal rubella, unspecified whether pregnancy/puerperium",
64649,L175100,Maternal rubella during pregnancy - baby delivered,
55889,L175300,Maternal rubella during pregnancy - baby not yet delivered,
73927,L175z00,Maternal rubella in pregnancy/childbirth/puerperium NOS,
72944,L176.00,Other maternal viral dis. in pregnancy/childbirth/puerperium,
106517,L176100,Other maternal viral disease in pregnancy - baby delivered,
103104,L176300,Other maternal viral dis.in pregnancy-baby not yet delivered,
59573,L176500,"Viral hepatitis comp pregnancy, childbirth & the puerperium",
47608,L177.00,Infections of bladder in pregnancy,
53490,L178.00,Infections of urethra in pregnancy,
104466,L179.00,HIV disease complicating pregnancy childbirth puerperium,
97881,L17y.00,Other mat.infective/parasitic disease in preg/childb/puerp.,
97877,L17yz00,Other mat.infective/parasitic dis in preg/childb/puerp NOS,
59910,L17z.00,Maternal infect/parasitic dis NOS in pregnancy/childb/puerp,
44069,L18..00,Other medical condition in pregnancy/childbirth/puerperium,
11359,L180.00,Diabetes mellitus during pregnancy/childbirth/puerperium,
67635,L180000,Diabetes mellitus - unspec whether in pregnancy/puerperium,
34639,L180100,Diabetes mellitus during pregnancy - baby delivered,
49559,L180300,Diabetes mellitus during pregnancy - baby not yet delivered,
10278,L180800,Diabetes mellitus arising in pregnancy,
8446,L180811,Gestational diabetes mellitus,
2664,L180900,Gestational diabetes mellitus,
64384,L180z00,Diabetes mellitus in pregnancy/childbirth/puerperium NOS,
47686,L181.00,Thyroid dysfunction in pregnancy/childbirth/puerperium,
100670,L181100,Thyroid dysfunction during pregnancy - baby delivered,
91888,L181300,Thyroid dysfunction in pregnancy - baby not yet delivered,
63644,L181z00,Thyroid dysfunction in pregnancy/childbirth/puerperium NOS,
1771,L182.00,"Anaemia during pregnancy, childbirth and the puerperium",
15633,L182000,Anaemia - unspecified whether in pregnancy or the puerperium,
33708,L182100,Anaemia during pregnancy - baby delivered,
21119,L182300,Anaemia during pregnancy - baby not yet delivered,
1668,L182500,Iron deficiency anaemia of pregnancy,
33634,L182z00,Anaemia during pregnancy/childbirth/puerperium NOS,
41473,L183.00,"Drug dependence in pregnancy, childbirth and the puerperium",
64500,L183.11,Pregnancy and drug dependence,
63379,L183100,Drug dependence during pregnancy - baby delivered,
67098,L183300,Drug dependence during pregnancy - baby not yet delivered,
96004,L183z00,Drug dependence during pregnancy/childbirth/puerperium NOS,
46756,L184.00,"Mental disorders in pregnancy, childbirth and the puerperium",
109465,L184300,Mental disorder during pregnancy - baby not yet delivered,
57491,L185.00,Congenital cardiovascular disorders in preg/childb/puerp,
61935,L185.11,Congenital heart disease in pregnancy,
69703,L185100,Congenital cardiovasc dis in pregnancy - baby delivered,
53142,L185z00,Congenital cardiovascular disorder in preg/childb/puerp NOS,
58982,L186.00,Other cardiovascular diseases in pregnancy/childbirth/puerp,
66594,L186.11,Heart disease during pregnancy,
41283,L187.00,Orthopaedic disorders in pregnancy/childbirth/puerperium,
99422,L187000,Orthopaedic disorder - unsp whether in pregnancy/puerperium,
57059,L187300,Orthopaedic disorder in pregnancy - baby not yet delivered,
6478,L188.00,Abnormal glucose tolerance test in pregnancy/childb/puerp,
18668,L188.11,GTT - glucose tolerance test abnormal in preg/childb/puerp,
73647,L188000,Abnormal GTT - unspec whether during pregnancy/puerperium,
68215,L188100,Abnormal GTT during pregnancy - baby delivered,
53167,L188300,Abnormal GTT during pregnancy - baby not yet delivered,
73557,L188z00,Abnormal GTT in pregnancy/childbirth/puerperium NOS,
54681,L189.00,"Dis resp syst comp pregnancy, childbirth & puerperium",
62809,L18A.00,Dis of the digestive sys comp preg childbirth and puerp,
26286,L18A000,Cholestasis of pregnancy,
45942,L18B.00,Dis of the skin and subcut tis comp preg childbrth puerp,
24951,L18C.00,"Endocrine nutrition+metab dis complic pregn,childbirth+puerp",
64260,L18D.00,"Dis nervous syst complic pregnancy,childbirth and puerperium",
43754,L18z.00,Medical condition NOS in pregnancy/childbirth/puerperium,
73432,L18z100,Medical condition NOS during pregnancy - baby delivered,
67164,L18z300,Medical condition NOS in pregnancy - baby not yet delivered,
69911,L18zz00,Medical condition NOS in pregnancy/childb/puerp NOS,
60330,L19..00,Complications specific to multiple gestation,
44770,L191.00,Continuing pregnancy after abortion of one fetus or more,
40964,L192.00,Continuing preg after intrauterine death one fetus or more,
24521,L1A..00,Sublux of symphysis pubis in preg childbirth and puerp,
41718,L1y..00,Complications of pregnancy/childbirth/puerperium OS,
53310,L1z..00,Complications of pregnancy/childbirth/puerperium NOS,
10261,L2...00,Risk factors in pregnancy,
31743,L200.00,Normal delivery but ante- or post- natal conditions present,
15433,L21..00,Multiple pregnancy,
16975,L21..11,Gestation - multiple,
1130,L210.00,Twin pregnancy,
54577,L210000,Twin pregnancy unspecified,
1357,L210100,Twin pregnancy - delivered,
61284,L210200,Twin pregnancy with antenatal problem,
41587,L210z00,Twin pregnancy NOS,
20197,L211.00,Triplet pregnancy,
61576,L211000,Triplet pregnancy unspecified,
61182,L211100,Triplet pregnancy - delivered,
94473,L211z00,Triplet pregnancy NOS,
34938,L212.00,Quadruplet pregnancy,
51956,L212200,Quadruplet pregnancy with antenatal problem,
72014,L212z00,Quadruplet pregnancy NOS,
69599,L21y.00,Other multiple pregnancy,
107713,L21y200,Other multiple pregnancy with antenatal problem,
105511,L21z.00,Multiple pregnancy NOS,
70214,L21z100,Multiple pregnancy NOS - delivered,
106170,L21zz00,Multiple pregnancy NOS,
66496,L222200,Breech presentation with antenatal problem,
70096,L224200,Transverse lie with antenatal problem,
73191,L226200,Brow presentation with antenatal problem,
49502,L228.00,Multiple pregnancy with malpresentation,
71851,L229200,Prolapsed arm with antenatal problem,
60154,L24..00,Pelvic soft tissue abnormality in pregnancy/childbirth/puerp,
34299,L240.00,Congenital abnormality of uterus in preg/childbirth/puerp,
28225,L240.11,"Bicornuate uterus in pregnancy, childbirth and puerperium",
49789,L240.12,"Double uterus in pregnancy, childbirth and the puerperium",
41899,L240000,Congenital abnormality of uterus affecting obstetric care,
34210,L240011,Bicornuate uterus affecting obstetric care,
92362,L240z00,Congenital abnormality uterus in pregnancy/childb/puerp NOS,
56542,L240z11,"Bicornuate uterus in pregnancy, childbirth or puerperium NOS",
53141,L241.00,Tumour of uterine body in pregnancy/childbirth/puerperium,
45242,L241.11,"Uterine fibroids in pregnancy, childbirth and the puerperium",
93136,L241000,Tumour of uterine body affecting obstetric care,
20826,L241011,Uterine fibroid affecting obstetric care,
72215,L241z00,Uterine body tumour in pregnancy/childbirth/puerperium NOS,
51639,L241z11,Uterine fibroid in pregnancy/childbirth/puerperium NOS,
50908,L242.00,Uterine scar from previous surgery in pregnancy/childb/puerp,
97836,L242100,Uterine operation scar in pregnancy/childbirth/puerp - deliv,
57640,L242z00,Uterine operation scar in pregnancy/childbirth/puerp NOS,
15254,L244.00,Other uterine/pelvic floor abnormality in preg/childb/puerp,
20850,L244.11,"Cystocele in pregnancy, childbirth and the puerperium",
35903,L244.12,"Pendulous abdomen in pregnancy,childbirth and the puerperium",
39492,L244.13,"Rectocele in pregnancy, childbirth and the puerperium",
54473,L244000,Other uterine/pelvic floor abnormal affecting obstetric care,
20907,L244011,Cystocele affecting obstetric care,
58517,L244012,Rectocele affecting obstetric care,
30378,L244312,Rectocele complicating antenatal care - baby not delivered,
35683,L244z00,Other uterine/pelvic floor abn in preg/childb/puerp NOS,
39550,L244z11,"Cystocele in pregnancy, childbirth or the puerperium NOS",
64147,L244z12,"Rectocele in pregnancy, childbirth or the puerperium NOS",
38871,L246.00,Other cervical abnormality in pregnancy/childbirth/puerp,
53056,L246.11,"Polyp of cervix in pregnancy, childbirth and the puerperium",
97629,L246z00,Other cervical abnormality in pregnancy/childbirth/puerp NOS,
33255,L246z11,Polyp of cervix in pregnancy/childbirth/puerperium NOS,
101499,L246z12,Stenosis of cervix in pregnancy/childbirth/puerperium NOS,
38875,L247.00,Congenital/acquired abnormality vagina in preg/childb/puerp,
41016,L247.11,"Septate vagina in pregnancy, childbirth and the puerperium",
40262,L247.13,Vaginal abnormality in pregnancy/childbirth/puerperium,
43628,L247011,Septate vagina affecting obstetric care,
61626,L247012,Stenosis of vagina affecting obstetric care,
73757,L247z00,Vaginal abnormality in pregnancy/childbirth/puerperium NOS,
63835,L247z11,Septate vagina in pregnancy/childbirth/puerperium NOS,
72203,L248.00,Congenital/acquired abnormality vulva in preg/childb/puerp,
88361,L248.11,"Persistent hymen in pregnancy, childbirth and the puerperium",
31610,L248.13,Vulval abnormality in pregnancy/childbirth/puerperium,
98057,L248000,Vulval abnormality affecting obstetric care,
72437,L248z00,Vulval abnormality in pregnancy/childbirth/puerperium NOS,
103222,L248z11,Persistent hymen in pregnancy/childbirth/puerperium NOS,
62315,L24z400,Pelvic soft tissue abnorm in preg/childb/puerp with p/n comp,
71563,L24zz00,Pelvic soft tissue abnormality in preg/childb/puerp NOS,
69788,L260200,Fetal-maternal haemorrhage with antenatal problem,
73407,L261200,Rhesus isoimmunisation with antenatal problem,
69072,L262200,Other blood-group isoimmunisation with antenatal problem,
44828,L263200,Fetal distress with antenatal problem,
60877,L263800,Maternal care for fetal decelerations during pregnancy,
12230,L263900,Maternal care for fetal tachycardia during pregnancy,
26055,L263A00,Maternal care for fetal bradycardia during pregnancy,
45413,L263A11,Maternal care for reduced fetal heart rate during pregnancy,
69254,L264200,Intrauterine death with antenatal problem,
23495,L265.00,Small-for-dates fetus in pregnancy,
23751,L266.00,Large-for-dates fetus in pregnancy,
99479,L267200,Other placental conditions with antenatal problem,
61533,L270200,Polyhydramnios with antenatal problem,
47928,L280200,Oligohydramnios with antenatal problem,
97391,L281200,Premature rupture of membranes with antenatal problem,
99286,L28y200,Other amniotic/membrane problem with antenatal problem,
15685,L2A..00,Abnormal findings on antenatal screening of mother,
42120,L2A0.00,Abnormal haematologic find on antenatal screening of mother,
36226,L2A1.00,Abnormal biochemical finding on antenatal screen of mother,
28290,L2A3.00,Abnormal ultrasonic finding on antenatal screening of mother,
70046,L2A4.00,Abnormal radiological finding on antenatal screen of mother,
37985,L2AX.00,Abnormal finding on antenatal screening of mother,
49407,L2B..00,Low weight gain in pregnancy,
67893,L2C..00,Malnutrition in pregnancy,
40357,L2D..00,Retained intrauterine contraceptive device in pregnancy,
26866,L2y..00,Other specified risk factors in pregnancy,
23438,L2z..00,Risk factors in pregnancy NOS,
44401,L305200,Shoulder dystocia with antenatal problem,
71794,L307200,Other failed trial of labour with antenatal problem,
73765,L311200,Secondary uterine inertia with antenatal problem,
95107,L312200,Other uterine inertia with antenatal problem,
71862,L323200,Delayed delivery second twin with antenatal problem,
99939,L33y200,Other umbilical cord complications with antenatal problem,
96678,L33z200,Umbilical cord complications NOS with antenatal problem,
59623,L35..00,Other obstetric trauma,
90277,L350200,Rupture of uterus before labour with antenatal problem,
68319,L351300,Rupture of uterus during/after labour with postnatal problem,
33352,L352.00,Obstetric inversion of uterus,
34843,L352.11,Inversion of uterus - obstetric,
72594,L352200,Obstetric inversion of uterus with postnatal problem,
94444,L352z00,Obstetric inversion of uterus NOS,
55750,L353.00,Obstetric laceration of cervix,
44261,L353.11,Laceration of cervix - obstetric,
27916,L353.12,Tear of cervix - obstetric,
68557,L353000,Obstetric laceration of cervix unspecified,
73797,L353z00,Obstetric laceration of cervix NOS,
69458,L354.00,Obstetric high vaginal laceration,
51929,L354.11,High vaginal laceration - obstetric,
50488,L354.12,High vaginal tear - obstetric,
71742,L354000,Obstetric high vaginal laceration unspecified,
44872,L354100,Obstetric high vaginal laceration - delivered,
72298,L355.00,Other obstetric pelvic organ damage,
28730,L355.11,Bladder injury - obstetric,
22765,L355.12,Urethra injury - obstetric,
94399,L355100,Other obstetric pelvic organ damage - delivered,
48853,L356.00,Obstetric trauma damaging pelvic joints and ligaments,
93982,L356.11,Obstetric pelvic joint damage,
48442,L356.12,Obstetric pelvic ligament damage,
61200,L356000,Obstetric damage to pelvic joints and ligaments unspecified,
69382,L356200,Obstetric damage to pelvic joints and ligaments + p/n prob,
24089,L356z00,Obstetric damage to pelvic joints and ligaments NOS,
47156,L357.00,Obstetric trauma causing pelvic haematoma,
91278,L357000,Obstetric pelvic haematoma unspecified,
73028,L357100,Obstetric pelvic haematoma - delivered,
67257,L35y.00,Other obstetric trauma OS,
96745,L35y100,Other obstetric trauma - delivered,
69285,L35y200,Other obstetric trauma - delivered with postnatal problem,
44385,L35z.00,Obstetric trauma NOS,
60507,L35z000,"Obstetric trauma NOS, unspecified",
71745,L35z100,Obstetric trauma NOS - delivered,
99969,L35z400,Obstetric trauma NOS with postnatal problem,
54582,L35zz00,Obstetric trauma NOS,
97719,L360200,Third-stage postpartum haemorrhage with postnatal problem,
47542,L362200,Secondary postpartum haemorrhage with postnatal problem,
2872,L371200,Retained products with no haemorrhage with postnatal problem,
73983,L380.00,Obstetric anaesthesia with pulmonary complications,
62676,L382000,Obstetric anaesthesia with CNS complications unspecified,
13039,L383.00,Obstetric toxic reaction to local anaesthesia,
27650,L384.00,Obstetric spinal and epidural anaesthesia-induced headache,
39359,L385.00,Failed or difficult intubation during pregnancy,
36959,L391.00,Obstetric shock,
69433,L393200,Post-delivery acute renal failure with postnatal problem,
89151,L394.00,Other complications of obstetric procedures,
73560,L394100,Other complications of obstetric procedures - delivered,
96648,L394200,Other complications of obstetric procedures - del +p/n prob,
6031,L394500,Infection of obstetric surgical wound,
11741,L394600,Haematoma of obstetric wound,
56246,L394z00,Other complications of obstetric procedures NOS,
863,L398200,Caesarean section - pregnancy at term,
56420,L39B.00,Death from sequelae of direct obstetric causes,
49478,L39X.00,Obstetric death of unspecified cause,
5113,L39y411,Postnatal vaginal discomfort,
16476,L39y412,Vaginal discomfort postnatal,
62888,L400100,Puerperal endometritis - delivered with postnatal comp,
57236,L400200,Puerperal endometritis with postnatal complication,
97272,L401200,Puerperal salpingitis with postnatal complication,
46744,L41..00,Venous complications of pregnancy and the puerperium,
29620,L41..11,Varicose veins - obstetric,
16046,L410.00,Varicose veins of legs in pregnancy and the puerperium,
99154,L410000,Varicose veins of legs in pregnancy/puerperium unspecified,
47197,L410400,Varicose veins of legs in pregnancy/puerperium + p/n comp,
53685,L410500,Varicose veins of legs in pregnancy,
63781,L410z00,Varicose veins of legs in pregnancy and puerperium NOS,
25759,L411.00,VV's of perineum/vulva in pregnancy/puerperium,
19327,L411.11,Perineal obstetric varicose veins,
20496,L411.12,Vulval obstetric varicose veins,
71943,L411000,VV's of perineum/vulva in pregnancy/puerperium unspecified,
26023,L411300,VV's of perineum/vulva in pregnancy/puerperium + a/n comp,
59588,L411500,Genital varices in pregnancy,
99237,L411511,Perineal varices in pregnancy,
59634,L411512,Vaginal varices in pregnancy,
96757,L411513,Vulval varices in pregnancy,
42091,L411z00,Varicose veins of perineum/vulva in pregnancy/puerperium NOS,
23456,L412.00,Superficial thrombophlebitis in pregnancy and the puerperium,
35652,L412000,Superficial thrombophlebitis in pregnancy/puerperium unsp,
71144,L412200,Superficial thrombophleb in preg/puerperium - del + p/n comp,
20098,L412400,Superficial thrombophlebitis in preg/puerperium + p/n comp,
64366,L412500,Superficial thrombophlebitis in pregnancy,
73914,L412511,Thrombophlebitis of legs in pregnancy,
52106,L412z00,Superficial thrombophlebitis in pregnancy and puerperium NOS,
23667,L413.00,Antenatal deep vein thrombosis,
26873,L413.11,"DVT - deep venous thrombosis, antenatal",
65725,L413000,Antenatal deep vein thrombosis unspecified,
94405,L413100,Antenatal deep vein thrombosis - delivered,
61203,L413z00,Antenatal deep vein thrombosis NOS,
4607,L414.00,Postnatal deep vein thrombosis,
16250,L414.12,Phlegmasia alba dolens - obstetric,
69921,L414000,Postnatal deep vein thrombosis unspecified,
23588,L414200,Postnatal deep vein thrombosis with postnatal complication,
61204,L414z00,Postnatal deep vein thrombosis NOS,
65579,L415.00,Other phlebitis and thrombosis in pregnancy and puerperium,
99594,L415000,Other phlebitis/thrombosis in pregnancy/puerperium unsp,
107708,L415100,Other phlebitis/thrombosis in pregnancy/puerperium - deliv,
66102,L415300,Other phlebitis/thrombosis in preg/puerperium + a/n comp,
6560,L416.00,Haemorrhoids in pregnancy and the puerperium,
17911,L416.11,Piles - obstetric,
56217,L416000,Haemorrhoids in pregnancy and the puerperium unspecified,
63773,L416100,Haemorrhoids in pregnancy and the puerperium - delivered,
68840,L416200,Haemorrhoids in pregnancy and puerperium - deliv + p/n comp,
103144,L416300,Haemorrhoids in pregnancy and puerperium with a/n comp,
109550,L416400,Haemorrhoids in pregnancy and puerperium with p/n comp,
29786,L416600,Haemorrhoids in pregnancy,
90329,L416z00,Haemorrhoids in pregnancy and the puerperium NOS,
52679,L417.00,Obstetric cerebral venous thrombosis,
69686,L417000,Cerebral venous thrombosis in pregnancy,
105500,L41yz00,Other venous complication of pregnancy and puerperium NOS,
73311,L41z.00,Venous complications of pregnancy and puerperium NOS,
66649,L41z500,"Venous complication of pregnancy, unspecified",
59681,L41z511,Gestational phlebitis NOS,
50081,L41z512,Gestational phlebopathy NOS,
58971,L41z513,Gestational thrombosis NOS,
7174,L43..00,Obstetric pulmonary embolism,
68438,L43..11,Obstetric pulmonary embolus,
31313,L430.00,Obstetric air pulmonary embolism,
49269,L432.00,Obstetric blood-clot pulmonary embolism,
59059,L433.12,Septic obstetric embolism,
73569,L43z.00,Obstetric pulmonary embolism NOS,
97367,L43z100,Obstetric pulmonary embolism NOS - delivered,
44404,L43z400,Obstetric pulmonary embolism NOS with postnatal complication,
98639,L43zz00,Obstetric pulmonary embolism NOS,
91272,L440300,Puerperal cerebrovascular disorder with antenatal comp,
54623,L441200,Caesarean wound disruption with postnatal complication,
24018,L442.00,Obstetric perineal wound disruption,
36478,L442000,Obstetric perineal wound disruption unspecified,
38616,L442100,Obstetric perineal wound disruption - deliv + p/n comp,
65230,L442200,Obstetric perineal wound disruption with p/n complication,
50765,L442z00,Obstetric perineal wound disruption NOS,
50137,L443.00,Other complication of obstetric surgical wound,
55917,L443000,Other complication of obstetric surgical wound unspecified,
93551,L443200,Other complication obstetric surgical wound with p/n comp,
33786,L443z00,Other complication of obstetric surgical wound NOS,
31934,L45..00,Obstetric breast infections,
64289,L450.00,Obstetric nipple infection,
37435,L450.11,Abscess of nipple - obstetric,
19737,L450.12,Nipple infection - obstetric,
71610,L450000,Obstetric nipple infection unspecified,
72931,L450100,Obstetric nipple infection - delivered,
72195,L450400,Obstetric nipple infection with postnatal complication,
59739,L450z00,Obstetric nipple infection NOS,
20371,L451.00,Obstetric breast abscess,
16424,L451.11,Purulent mastitis - obstetric,
63755,L451000,Obstetric breast abscess unspecified,
53660,L451100,Obstetric breast abscess - delivered,
15533,L451400,Obstetric breast abscess with postnatal complication,
44482,L451z00,Obstetric breast abscess NOS,
20383,L452.00,Obstetric nonpurulent mastitis,
50089,L452.11,Lymphangitis of breast - obstetric,
15697,L452000,Obstetric nonpurulent mastitis unspecified,
20630,L452100,Obstetric nonpurulent mastitis - delivered,
60820,L452200,Obstetric nonpurulent mastitis - deliv with p/n complication,
53683,L452300,Obstetric nonpurulent mastitis with antenatal complication,
5045,L452400,Obstetric nonpurulent mastitis with postnatal complication,
35710,L452z00,Obstetric nonpurulent mastitis NOS,
15721,L45y.00,Other obstetric breast infections,
58880,L45y000,Other obstetric breast infection unspecified,
39805,L45z.00,Obstetric breast infection NOS,
41108,L45z000,"Obstetric breast infection NOS, unspecified",
54269,L45z100,Obstetric breast infection NOS - delivered,
16281,L45z400,Obstetric breast infection NOS with postnatal complication,
33633,L45zz00,Obstetric breast infection NOS,
30944,L46..00,Obstetric breast and lactation disorders NOS,
70092,L460.00,"Retracted nipple in pregnancy, the puerperium or lactation",
73089,L460000,Retracted nipple in pregnancy/puerperium/lactation unspec,
99389,L460300,Retracted nipple in pregnancy/puerperium/lact with a/n comp,
99365,L460z00,Retracted nipple in pregnancy/puerperium/lactation NOS,
28611,L461.00,"Cracked nipple in pregnancy, the puerperium or lactation",
97741,L461000,Cracked nipple in pregnancy/puerperium/lactation unspecified,
50009,L461100,Cracked nipple in pregnancy/puerperium/lactation - delivered,
97296,L461200,Cracked nipple in pregnancy/puerp/lact - deliv + p/n comp,
15297,L461400,Cracked nipple in pregnancy/puerperium/lactation + p/n comp,
15297,L461400,Cracked nipple in pregnancy/puerperium/lactation + p/n comp,
62886,L461z00,"Cracked nipple in pregnancy, the puerperium or lactation NOS",
16995,L462.00,"Breast engorgement in pregnancy, the puerperium or lactation",
58686,L462000,Breast engorgement in pregnancy/puerperium/lactation unspec,
57131,L462100,Breast engorgement in pregnancy/puerperium/lactation - deliv,
59601,L462200,Breast engorgement in pregnancy/puerp/lact - del + p/n comp,
101272,L462300,Breast engorgement in pregnancy/puerperium/lact + a/n comp,
14765,L462400,Breast engorgement in pregnancy/puerperium/lact + p/n comp,
38440,L462z00,Breast engorgement in pregnancy/puerperium/lactation NOS,
61144,L463.00,Other breast disorder in pregnancy/puerperium/lactation,
35928,L463000,Other breast disorder in pregnancy/puerperium/lact unspec,
104806,L463100,Other breast disorder in pregnancy/puerperium/lact - deliv,
73717,L463300,Other breast disorder in pregnancy/puerperium/lact +a/n comp,
59269,L463400,Other breast disorder in pregnancy/puerperium/lact +p/n comp,
67377,L463z00,Other breast disorder in pregnancy/puerperium/lactation NOS,
4243,L466.00,Galactorrhoea in pregnancy and the puerperium,
54089,L466000,Galactorrhoea in pregnancy and the puerperium unspecified,
24006,L466100,Galactorrhoea in pregnancy and the puerperium - delivered,
69012,L466300,Galactorrhoea in pregnancy/puerperium with a/n complication,
28312,L466z00,Galactorrhoea in pregnancy and the puerperium NOS,
51848,L46y.11,Galactocele - obstetric,
56747,L46y400,Other disorder of lactation with postnatal complication,
33441,L511.00,Maternal care for viable fetus in abdominal pregnancy,
45870,Ly...00,"Complications of pregnancy,childbirth or the puerperium OS",
104656,Ly2..00,Sequelae of complication pregnancy childbirth and puerperium,
110448,Lyu0.00,[X]Pregnancy with abortive outcome,
53908,Lyu0000,[X]Other ectopic pregnancy,
52967,Lyu0B00,"[X]Complic following abortion & ectopic & molar preg, unspec",
92998,Lyu1.00,"[X]Oedema,proteinuria+hypertens in pregnancy,childbrth,puerp",
72883,Lyu2100,[X]Other vomiting complicating pregnancy,
38771,Lyu2200,[X]Other venous complications in pregnancy,
100892,Lyu2400,[X]Other+unspcf genitourinary tract infection in pregnancy,
37348,Lyu2500,[X]Other specified pregnancy-related conditions,
68966,Lyu7.00,"[X]Other obstetric conditions, not elsewhere classified",
97703,Lyu7400,"[X]Oth spcf dis+conditns complicat preg,childbirth+puerperum",
73935,Lyu7500,[X]Obstetric death of unspecified cause,
28446,Lz...00,"Complications of pregnancy,childbirth and the puerperium NOS",
60345,M240500,Alopecia of pregnancy,
23008,Q....00,Perinatal conditions,
46009,Q0...00,Fetus/neonate affected by maternal problem unrelated to preg,
68004,Q01..00,Fetus/neonate affected by maternal complication of pregnancy,
63825,Q014.00,Fetus or neonate affected by ectopic pregnancy,
107485,Q014000,Fetus or neonate affected by unspecified ectopic pregnancy,
99006,Q014100,Fetus or neonate affected by abdominal ectopic pregnancy,
99008,Q014300,Fetus or neonate affected by tubal ectopic pregnancy,
54293,Q015.00,Fetus or neonate affected by multiple pregnancy,
49855,Q015100,Fetus or neonate affected by twin pregnancy,
73455,Q015200,Fetus or neonate affected by triplet pregnancy,
72835,Q01z.00,Fetus/neonate affected by maternal complic pregnancy NOS,
60309,Q0y..00,Maternal problems unrelated preg affecting fetus/neonate OS,
66390,Q0z..00,Maternal problem unrelated preg affecting fetus/neonate NOS,
46448,Q486.00,Fetal death due to termination of pregnancy,
105006,Q48G.00,Complication termination pregnancy affecting fetus newborn,
41050,Z2...00,"Pregnancy, childbirth and puerperium observations",
25254,Z21..00,Care relating to reproduction and pregnancy,
7845,Z212.00,Antenatal care,
9986,Z212.11,Pregnancy care,
42614,Z22..00,Pregnancy observations,
35158,Z225.00,Normal pregnancy,
11422,Z226.00,Pregnancy problem,
12890,Z227.00,Confirmation of pregnancy,
49519,Z229.00,Observation of position of pregnancy,
22193,Z229100,Intrauterine pregnancy,
37701,Z22A.00,Observation of pattern of pregnancy,
25501,Z22A100,Low risk pregnancy,
22215,Z22A200,High risk pregnancy,
61466,Z22A211,HRP - High risk pregnancy,
28103,Z22A300,Concealed pregnancy,
9754,Z22A400,Early stage of pregnancy,
50440,Z22A500,Biochemical pregnancy,
40633,Z22A600,Teenage pregnancy,
40978,Z22A700,Surrogate pregnancy,
47489,Z22A800,Undiagnosed pregnancy,
50421,Z22A900,Unwanted pregnancy,
30365,Z22AA00,Wanted pregnancy,
30618,Z22AB00,Unplanned pregnancy,
52048,Z22AB11,Accidental pregnancy,
26201,Z22AC00,Pregnancy with uncertain dates,
32493,Z22AD00,Presentation of pregnancy,
25131,Z22AD11,Reported conception - pregnancy,
67863,Z22B.00,Observation of quantity of pregnancy,
22557,Z22B100,Single pregnancy,
93895,Z22B500,Quintuplet pregnancy,
40825,Z22B800,Undiagnosed multiple pregnancy,
37573,Z22B900,Continuing pregnancy after abortion of sibling fetus,
59313,Z22BA00,Contin pregnancy after intrauterine death of sibling fetus,
68694,Z22C.00,Observation of measures of pregnancy,
22385,Z22C300,Length of gestation,
45965,Z22C311,Pregnancy duration,
43805,Z22C312,Duration of gestation,
53097,Z22C313,Duration of pregnancy,
10306,Z22C314,Weeks pregnant,
32368,Z22C400,Duration of pregnancy at time of previous miscarriage,
12874,Z22C600,Number of previous pregnancies,
46609,Z22C800,Number of lost pregnancies,
50779,Z22CB11,Number of spontaneous abortions,
38022,Z22CF00,Date symptom of pregnancy first noted,
45729,Z22D.00,Observation of viability of pregnancy,
18500,Z22D100,Viable pregnancy,
48281,Z22D200,Non-viable pregnancy,
53514,Z22D300,Uncertain viability of pregnancy,
54288,Z22D311,Query viability of pregnancy,
64247,Z235.00,Observation of shape of pregnant abdomen,
93800,Z235100,Ovoid pregnant abdomen,
